,city,lat,lon,temp,humidity,cloudiness,wind_speed
39,Poum,41.28,20.71,59.0,67,40,2.24
40,Petit Goave,18.43,-72.87,89.6,62,75,8.05
41,Shubarshi,48.59,57.19,49.52,73,48,2.04
42,Xixiang,22.58,113.87,77.0,65,0,2.24
43,Bonavista,48.65,-53.11,49.88,92,12,13.78
44,Caucaia,-3.73,-38.66,86.0,62,40,16.11
45,Sturgis,44.41,-103.51,52.66,70,90,21.92
46,Mehamn,71.03,27.85,37.4,98,75,19.46
47,Vila Franca do Campo,37.72,-25.43,71.6,78,20,9.17
48,Quelimane,-17.88,36.89,75.2,83,0,12.75
49,Mount Isa,-20.73,139.49,68.0,42,76,1.12
50,Kishangarh,26.59,74.86,73.82,64,32,2.82
51,Bredasdorp,-34.53,20.04,59.0,62,0,8.05
52,Cabo San Lucas,22.89,-109.91,87.03,70,20,4.7
53,Kasongo-Lunda,-6.48,16.82,73.55,85,36,2.37
54,Hilo,19.71,-155.08,62.26,63,1,6.93
55,Katsuura,33.93,134.5,65.72,94,92,6.96
56,Cumbum,15.58,79.11,72.83,91,12,2.71
57,NEDJO,9.5,35.5,59.69,93,0,2.59
58,Provideniya,64.42,-173.23,46.1,99,92,32.91
59,Honiara,-9.43,159.96,75.2,100,40,6.93
60,Fujin,47.24,132.03,39.62,80,0,3.6
61,Ngunguru,-35.62,174.5,59.96,95,88,11.77
62,Ilulissat,69.22,-51.1,28.4,50,75,3.36
63,Lexington,38.05,-84.5,82.81,61,40,8.05
64,Georgetown,6.8,-58.16,91.4,59,75,11.41
65,Banda Aceh,5.56,95.32,75.44,100,68,0.92
66,Dikson,73.51,80.55,38.72,100,92,23.62
67,Muros,42.77,-9.06,77.0,36,20,3.36
68,Cape Town,-33.93,18.42,60.8,72,0,14.99
69,Liusha,27.21,108.59,52.31,85,56,2.37
70,Cherskiy,68.75,161.3,32.87,97,92,6.17
71,Mildura,-34.18,142.16,57.89,70,56,19.04
72,Marsh Harbour,26.54,-77.06,82.28,100,68,16.02
73,Aksarka,66.56,67.8,40.88,95,88,13.0
74,Noyabrsk,63.2,75.45,45.02,97,92,15.46
75,Kralendijk,12.15,-68.27,87.8,70,75,13.87
76,Villefranche-de-Rouergue,44.35,2.04,60.8,59,0,11.41
77,Chulym,55.09,80.97,39.35,80,8,8.3
78,Te Anau,-45.41,167.72,45.74,79,36,16.69
79,Dandong,40.12,124.37,44.03,83,0,2.48
80,Challans,46.85,-1.88,64.4,59,0,4.7
81,Norman Wells,65.28,-126.83,24.8,85,90,3.36
82,East London,-33.02,27.91,55.4,71,20,4.7
83,Longyearbyen,78.22,15.63,32.0,100,75,6.93
84,Vardo,39.62,-77.74,80.85,60,20,5.82
85,Chara,39.42,22.43,66.2,93,20,3.36
86,Pevek,69.7,170.27,39.8,100,88,7.29
87,New Norfolk,-42.78,147.06,37.4,86,20,4.7
88,Bosaso,11.28,49.18,82.55,100,8,3.6
89,Karratha,-20.74,116.85,72.92,46,0,9.86
90,Iqaluit,63.75,-68.52,33.8,80,75,9.17
91,Namibe,-15.19,12.15,68.15,97,0,6.73
92,Constitucion,23.99,-104.67,66.2,63,5,0.92
93,Lorengau,-2.02,147.27,82.82,100,12,2.93
94,Jinxiang,35.07,116.31,51.14,76,0,2.71
95,Nome,30.04,-94.42,87.84,61,75,6.93
96,Tiarei,-17.53,-149.33,77.0,65,40,4.7
97,Bilibino,68.06,166.44,29.18,90,92,2.15
98,Komsomolskiy,67.55,63.78,38.27,97,92,11.99
99,Aykhal,65.95,111.51,30.35,91,92,9.64
100,Half Moon Bay,37.46,-122.43,68.85,77,90,5.82
101,Hofn,64.25,-15.21,42.8,75,90,14.99
102,Vaini,15.34,74.49,70.94,94,36,1.7
103,Salalah,17.01,54.1,80.6,78,0,2.24
104,Mushie,-3.02,16.92,83.09,67,56,3.71
105,Guna,24.65,77.32,82.01,56,88,2.71
106,Port Alfred,-33.59,26.89,62.39,88,92,7.74
107,Ostrovnoy,68.05,39.51,33.05,97,68,9.75
108,North Platte,41.12,-100.77,87.98,24,1,29.97
109,Leningradskiy,69.38,178.42,39.71,90,80,12.21
110,Karasjok,69.47,25.52,37.4,90,75,18.34
111,Loukhi,66.08,33.04,33.5,99,64,6.96
112,Hagi,34.43,131.51,56.09,81,88,4.72
113,Carnarvon,-30.97,22.13,51.77,29,0,14.12
114,Santa Isabel do Rio Negro,-0.41,-65.02,91.28,60,32,4.05
115,Sur,22.57,59.53,82.46,99,0,2.37
116,Marawi,8.0,124.29,63.47,99,24,1.7
117,Ostersund,63.18,14.64,35.6,100,75,2.24
118,Clyde River,70.47,-68.59,30.2,86,90,18.34
119,Arraial do Cabo,-22.97,-42.02,87.6,66,0,13.87
120,Butaritari,3.07,172.79,84.62,100,36,5.5
121,Kisaran,2.98,99.62,75.8,100,12,2.26
122,San Jeronimo,-13.65,-73.37,53.6,71,75,10.29
123,Yellowknife,62.45,-114.38,23.0,62,75,8.05
124,Virginia Beach,36.85,-75.98,85.41,55,40,8.05
125,Atuona,-9.8,-139.03,79.22,100,0,12.77
126,Ancud,-41.87,-73.83,51.23,77,44,5.73
127,Tiksi,71.64,128.87,17.21,100,56,3.04
128,Nikolskoye,59.7,30.79,48.2,76,75,6.71
129,Buchanan,5.88,-10.05,80.6,83,75,6.93
130,Kodiak,39.95,-94.76,86.0,57,1,28.86
131,Castro,-42.48,-73.76,50.06,81,76,5.95
132,Bilma,18.69,12.92,91.73,18,76,4.16
133,Wasilla,61.58,-149.44,46.33,85,90,3.15
134,Pires do Rio,-17.3,-48.28,84.53,63,56,5.06
135,San Isidro,16.74,121.63,69.59,89,8,1.92
136,Lavrentiya,65.58,-170.99,46.55,89,88,24.07
137,Caravelas,-17.73,-39.27,77.69,100,0,15.23
138,Kotri,25.36,68.31,79.58,60,0,11.21
139,San Ramon de la Nueva Oran,-23.13,-64.33,72.83,56,20,11.65
140,Pericos,25.08,-107.7,89.6,62,5,2.48
141,Axim,4.87,-2.24,78.95,96,12,10.87
142,Sontra,51.07,9.94,51.01,61,0,6.93
143,Saldanha,41.42,-6.55,70.31,40,0,4.16
144,Avarua,-21.21,-159.78,69.8,64,75,13.87
145,Great Yarmouth,52.61,1.73,59.0,72,75,5.82
146,Seydi,13.34,7.75,84.8,59,0,3.15
147,Snasa,64.25,12.38,37.4,100,40,2.24
148,Broken Hill,-31.97,141.45,56.45,97,92,17.69
149,Tyret Pervaya,53.67,102.31,33.5,88,92,12.77
150,Naantali,60.45,22.03,41.0,75,56,4.7
151,Bluff,-23.58,149.07,55.1,88,0,5.61
152,Cidreira,-30.17,-50.22,63.65,97,100,10.65
153,Lasem,-6.99,112.52,80.75,85,20,7.18
154,Narrabri,-30.33,149.78,63.02,58,92,3.38
155,Ponta do Sol,-20.63,-46.0,89.39,39,8,7.74
156,Sola,62.78,29.36,37.4,74,40,9.17
157,Sitka,37.17,-99.65,90.29,42,8,21.61
158,Narsaq,60.91,-46.05,41.0,32,75,6.93
159,Kununurra,-15.77,128.74,75.2,64,0,8.05
160,Hamilton,32.3,-64.78,80.6,69,40,17.22
161,Saint George,39.45,22.34,68.0,88,40,2.37
162,Pahrump,36.21,-115.98,77.77,36,1,14.99
163,Saskylakh,71.97,114.09,26.48,89,80,8.52
164,Codajas,-3.84,-62.06,87.86,78,20,4.61
165,Khatanga,71.98,102.47,30.17,92,88,12.77
166,Gondanglegi,-7.75,112.01,69.23,87,64,3.38
167,Noumea,-22.28,166.46,62.6,100,75,2.24
168,Tasiilaq,65.61,-37.64,32.0,100,20,1.12
169,Tamandare,-8.28,-70.75,89.75,60,76,2.59
170,Altagracia de Orituco,9.86,-66.38,94.52,47,24,10.98
171,Sassandra,4.95,-6.09,77.15,97,32,9.98
172,Shingu,33.72,135.99,72.74,100,100,10.65
173,Haputale,6.77,80.96,71.57,97,48,2.71
174,Quatre Cocos,-20.21,57.76,71.6,60,20,6.93
175,Changde,29.04,111.68,57.89,76,24,2.71
176,Pangnirtung,66.15,-65.72,28.4,58,90,4.7
177,Nombre de Dios,23.85,-104.24,66.2,63,5,0.92
178,Novyy Urengoy,66.08,76.63,40.7,94,92,14.0
179,Beloha,-25.17,45.06,68.33,82,0,8.63
180,Bogorodskoye,52.37,140.44,36.56,94,0,6.17
181,Selma,36.57,-119.61,69.71,83,90,5.82
182,Bria,6.54,21.99,68.42,94,0,2.93
183,Waipawa,-39.94,176.59,38.54,79,0,6.4
184,Touros,-5.2,-35.46,84.8,65,0,16.69
185,Nantucket,41.28,-70.1,62.2,96,90,8.05
186,Necochea,-38.55,-58.74,61.67,58,0,13.78
187,Tandil,-37.33,-59.14,63.11,49,0,14.9
188,Vao,59.1,26.19,44.3,97,88,3.38
189,Pouembout,-21.12,164.9,62.12,88,64,4.83
190,Tuatapere,-46.13,167.69,52.67,85,36,23.73
191,Arlit,18.74,7.39,92.45,23,88,2.82
192,Port Blair,11.67,92.75,86.6,96,68,5.73
193,Chuy,-33.69,-53.46,63.83,97,48,8.08
194,Luderitz,-26.65,15.16,70.13,57,0,8.97
195,Aranos,-24.14,19.11,75.08,18,0,13.56
196,Saint-Philippe,45.36,-73.48,52.18,96,90,4.16
197,Port Alberni,49.24,-124.81,46.4,75,90,5.82
198,Ambon,47.55,-2.56,64.4,68,0,3.36
199,Ratnagiri,16.98,73.3,83.45,98,12,12.55
200,Tuktoyaktuk,69.44,-133.03,21.2,92,90,13.87
201,Zhangye,38.94,100.46,39.26,56,0,9.08
202,Upernavik,72.79,-56.15,32.33,100,80,10.98
203,San Cristobal,-0.39,-78.55,64.4,52,75,13.87
204,Dwarka,28.58,77.04,84.2,66,40,5.82
205,Meulaboh,4.14,96.13,76.43,100,92,1.14
206,Grants,35.15,-107.85,65.48,72,90,4.7
207,Maryville,40.35,-94.87,86.0,57,1,28.86
208,Kavieng,-2.57,150.8,83.36,100,0,3.38
209,Itoman,26.12,127.67,75.27,88,75,17.22
210,Hobyo,5.35,48.53,77.06,89,0,13.44
211,Kanadey,53.17,47.53,53.21,96,92,8.3
212,Fortuna,38.18,-1.13,73.36,44,0,10.29
213,Ayan,40.67,33.6,49.7,79,0,1.59
214,Hede,60.45,15.49,41.0,93,75,5.82
215,Moa,20.66,-74.95,78.77,89,24,3.04
216,Porto Novo,-23.68,-45.44,91.4,43,40,8.05
217,Ponta Delgada,37.73,-25.67,71.6,78,20,9.17
218,Paragominas,-3.0,-47.35,94.43,52,44,6.96
219,Chokurdakh,70.62,147.9,29.9,95,80,12.66
220,Wembley,51.55,-0.3,59.76,72,0,1.12
221,Saint Anthony,43.97,-111.68,60.93,44,1,16.11
222,Bitung,1.44,125.19,77.0,83,20,2.24
223,Galbshtadt,53.23,78.98,38.45,83,8,7.52
224,Marsabit,2.34,37.99,75.98,61,8,6.62
225,Fatezh,52.09,35.86,50.0,81,75,13.42
226,Kostomuksha,64.59,30.6,31.61,93,76,5.73
227,Cravo Norte,6.3,-70.2,94.25,66,0,4.61
228,Liwale,-9.8,37.92,76.25,57,32,5.28
229,Japura,-0.42,102.29,74.0,97,12,2.26
230,Barreirinhas,-2.75,-42.83,93.44,48,0,13.44
231,Garden City,40.73,-73.63,73.92,63,40,8.05
232,Kuytun,54.34,101.51,34.22,68,44,6.4
233,Acworth,34.07,-84.68,84.25,35,1,3.38
234,Kaeo,-35.1,173.78,51.59,87,92,4.94
235,Sioux Lookout,50.1,-91.92,48.2,93,90,3.36
236,Aloleng,16.13,119.78,78.32,99,0,8.41
237,Nanortalik,60.14,-45.24,37.1,96,0,21.83
238,Geraldton,49.72,-86.95,50.0,93,90,12.75
239,Talnakh,69.49,88.39,28.55,97,80,7.74
240,Verkh-Usugli,52.7,115.17,37.46,81,0,2.26
241,North Myrtle Beach,33.83,-78.68,84.04,63,1,9.17
242,Sorland,67.67,12.69,41.83,60,75,18.34
243,Campoverde,41.54,12.73,69.19,64,0,4.7
244,Sao Jose da Coroa Grande,-8.9,-35.15,79.4,78,92,11.65
245,Nkayi,-4.18,13.29,76.79,87,64,3.15
246,Saint-Pierre,48.95,4.24,56.21,71,0,3.36
247,Kochevo,42.1,24.92,66.2,82,80,1.36
248,Havoysund,71.0,24.66,36.48,100,75,19.46
249,Pavlohrad,48.53,35.87,48.2,81,0,4.47
250,Daru,7.99,-10.85,79.4,89,92,3.27
251,Wakkanai,45.41,141.67,61.58,100,0,20.71
252,Khandyga,62.65,135.58,33.14,97,92,4.94
253,Port Lincoln,-34.72,135.86,52.85,99,76,13.67
254,Isangel,-19.55,169.27,72.38,100,0,13.78
255,Capao Bonito,-24.01,-48.35,81.47,75,20,8.63
256,Kijang,35.24,129.21,57.2,76,0,4.7
257,Codrington,-28.95,153.24,53.03,95,0,4.27
258,Myitkyina,25.38,97.4,71.93,98,92,2.71
259,Libertador General San Martin,-23.81,-64.79,75.2,41,0,8.05
260,Bundaberg,-24.87,152.35,67.43,100,0,7.29
261,Ribeira Grande,38.52,-28.7,75.2,69,20,2.24
262,Hirara,24.8,125.28,78.32,100,92,33.02
263,Luanda,-8.83,13.24,75.2,83,20,6.93
264,Genhe,50.78,121.52,35.66,71,0,5.95
265,Nouakchott,18.08,-15.98,81.56,92,20,11.77
266,Deputatskiy,69.3,139.9,20.81,87,24,5.39
267,Mandalgovi,45.76,106.27,42.05,52,0,12.55
268,Buhe,30.29,112.23,56.9,87,0,3.27
269,Bathsheba,13.22,-59.52,86.0,70,40,13.87
270,Kommunar,59.62,30.39,48.2,76,75,6.71
271,Fairbanks,64.84,-147.72,32.0,18,20,4.7
272,Leh,34.16,77.58,6.77,80,20,1.36
273,Jining,35.41,116.58,51.23,70,0,2.93
274,Takapau,-40.02,176.35,38.54,79,0,6.4
275,Beaverlodge,55.21,-119.43,33.8,55,75,4.7
276,Beringovskiy,63.05,179.32,46.55,97,92,18.92
277,Bartica,6.41,-58.62,91.4,59,75,11.41
278,Chapais,49.78,-74.86,50.0,61,90,6.93
279,Jacareacanga,-6.22,-57.76,78.8,88,75,2.24
280,San Policarpo,12.18,125.51,76.43,100,32,3.71
281,Abu Dhabi,24.47,54.37,89.6,66,0,8.05
282,Severo-Kurilsk,50.68,156.12,48.08,99,64,11.32
283,Jieshou,33.26,115.35,51.32,73,0,2.71
284,Dombarovskiy,50.76,59.54,41.15,62,20,5.61
285,Oskemen,49.96,82.61,33.8,91,20,2.26
286,Kudahuvadhoo,2.67,72.89,81.38,100,80,21.39
287,Northam,51.04,-4.21,60.17,82,20,4.7
288,General Roca,-39.03,-67.58,60.8,25,0,4.7
289,Dingle,11.0,122.67,75.62,94,64,3.6
290,Coquimbo,-29.95,-71.34,68.0,49,0,13.87
291,Poronaysk,49.22,143.1,42.59,94,32,5.73
292,Namagiripettai,11.46,78.27,72.92,97,56,1.36
293,Sao Filipe,14.9,-24.5,81.65,87,32,14.23
294,Tornio,61.12,27.27,39.79,93,75,9.17
295,Havre,48.55,-109.68,35.06,15,40,14.99
296,Anadyr,64.73,177.51,46.4,81,40,17.9
297,Morant Bay,17.88,-76.41,87.8,66,20,20.8
298,Warmbad,50.67,13.08,51.24,57,0,10.29
299,Blessington,53.17,-6.53,58.28,87,75,5.82
300,Batsfjord,70.63,29.72,34.07,100,40,20.8
301,The Valley,18.22,-63.06,86.09,62,40,8.05
302,Vestmannaeyjar,63.44,-20.27,42.8,87,75,28.86
303,Gat,14.69,-16.54,86.6,75,0,3.71
304,Shypyntsi,48.39,25.74,51.8,53,0,13.67
305,Hualmay,-11.1,-77.61,72.02,66,0,5.06
306,Rantepao,-2.97,119.9,66.17,98,80,1.7
307,Dicabisagan,17.08,122.42,70.85,100,0,6.62
308,Dunedin,-45.87,170.5,44.03,72,100,11.65
309,Rio Grande,-32.03,-52.1,68.0,42,0,10.29
310,Cayenne,4.94,-52.33,89.6,62,0,17.22
311,Bethel,60.79,-161.76,48.92,74,90,14.99
312,Jishou,28.26,109.7,61.22,71,64,3.27
313,Morlaix,48.58,-3.83,55.76,100,90,4.7
314,Ishigaki,24.34,124.16,78.41,100,92,36.48
315,Waddan,29.16,16.14,75.26,53,64,7.07
316,Comodoro Rivadavia,-45.87,-67.48,60.8,66,75,11.41
317,Rovnoye,50.78,46.06,57.53,92,0,9.42
318,Egvekinot,66.32,-179.17,42.77,98,92,7.85
319,Semey,50.41,80.25,34.85,83,0,3.49
320,Pisco,-13.71,-76.2,71.6,30,0,8.05
321,Kupino,54.36,77.31,42.14,100,0,9.31
322,Wamba,2.14,27.99,70.58,91,36,2.71
323,Kurilsk,45.23,147.88,54.29,91,0,15.23
324,Skjervoy,70.03,20.97,37.4,86,75,19.46
325,Grand Gaube,-20.01,57.66,71.6,60,20,6.93
326,Tabou,4.42,-7.36,78.32,100,76,9.53
327,Biak,-0.91,122.88,76.43,96,92,5.06
328,Coahuayana,18.62,-100.35,78.23,76,0,3.04
329,Labuhan,-2.54,115.51,69.23,95,32,1.81
330,Jackson,35.61,-88.82,85.06,61,20,11.41
331,Saint-Leu-la-Foret,49.02,2.25,59.45,63,90,4.7
332,Limbang,4.75,115.01,78.8,94,75,5.82
333,Suchiate,14.55,-92.22,87.8,70,75,3.36
334,Jizan,16.89,42.56,80.6,78,40,14.99
335,Oistins,13.07,-59.53,86.0,70,40,13.87
336,Tautira,-17.73,-149.15,77.0,65,40,4.7
337,Wad Rawah,15.16,33.13,80.93,41,0,5.39
338,Isla Vista,34.41,-119.86,66.56,77,75,18.34
339,Truro,50.26,-5.05,53.6,100,90,6.93
340,Dukhovnitskoye,52.48,48.21,60.5,79,92,7.29
341,Acajutla,13.59,-89.83,86.0,74,75,6.93
342,Taltal,-25.41,-70.49,67.43,72,56,2.93
343,Moose Factory,51.26,-80.61,50.0,76,90,12.75
344,Ballina,54.11,-9.15,53.6,100,90,8.05
345,Rauma,61.13,21.5,33.8,93,64,2.24
346,Zelenoborsk,61.47,64.05,45.38,84,44,8.41
347,Lafia,8.5,8.51,77.78,92,68,2.59
348,Sorong,-0.86,131.25,80.12,100,64,5.5
349,Portland,45.52,-122.67,54.86,64,75,6.93
350,Alice Springs,-23.7,133.88,64.4,63,0,6.93
351,Altay,47.83,88.13,18.92,67,8,2.37
352,Port Macquarie,-31.43,152.91,55.4,93,20,8.63
353,Kieta,-6.22,155.63,77.15,100,76,2.37
354,Dahod,22.84,74.26,75.08,79,8,2.82
355,Makakilo City,21.35,-158.09,75.49,93,1,3.36
356,Vrangel,42.73,133.08,60.68,100,0,5.39
357,Santa Cruz del Sur,20.71,-78.0,85.7,81,92,11.32
358,Nyurba,63.29,118.35,35.48,64,20,6.96
359,Kahului,20.89,-156.47,71.26,84,20,3.36
360,Muzhi,65.4,64.7,38.0,90,12,11.21
361,Baherden,38.44,57.43,65.0,75,44,3.6
362,Sacramento,38.58,-121.49,69.87,64,75,4.7
363,Kitakata,37.67,139.86,49.07,92,36,1.81
364,La Cruz,23.92,-106.89,91.1,62,0,3.27
365,Snezhnogorsk,69.19,33.23,35.6,74,75,4.47
366,Aguining,10.09,124.59,75.53,100,64,2.59
367,Nishihara,35.74,139.53,68.47,84,90,4.7
368,Svetlogorsk,53.14,59.15,44.6,52,32,6.71
369,Sakaiminato,35.55,133.23,59.0,87,40,2.24
370,Yeppoon,-23.13,150.74,57.2,87,40,3.94
371,Xining,36.62,101.77,28.55,90,0,3.38
372,Vangaindrano,-23.35,47.6,66.53,88,0,5.17
373,Sabang,13.72,123.58,76.07,98,20,3.6
374,Kondinskoye,59.65,67.41,49.79,67,56,7.85
375,Lazy,48.71,24.14,46.4,75,75,4.47
376,Port-Gentil,-0.72,8.78,80.6,78,20,8.05
377,Ous,60.91,61.52,43.22,91,8,6.51
378,Oranjemund,-28.55,16.43,62.3,78,0,27.76
379,Krasnyy,53.81,40.7,52.67,97,92,16.46
380,Macenta,8.55,-9.47,76.61,85,88,2.04
381,Wichian Buri,15.66,101.11,76.61,75,0,8.52
382,Aleppo,36.2,37.17,69.95,36,24,6.4
383,Tocopilla,-22.09,-70.2,61.67,100,64,4.38
384,Pathein,16.78,94.73,74.63,99,80,2.71
385,Orbetello,42.44,11.21,66.2,59,0,9.17
386,Xiaoshi,30.59,116.63,52.13,67,0,4.94
387,Richards Bay,-28.77,32.06,58.97,100,92,17.13
388,Lipin Bor,60.26,37.97,45.56,100,92,5.84
389,Lasa,34.92,32.53,75.4,69,0,5.82
390,Tarrafal,15.28,-23.77,86.0,66,0,17.22
391,Safakulevo,54.99,62.54,48.98,53,8,11.99
392,Olean,42.08,-78.43,60.46,93,90,6.93
393,Morondava,-20.3,44.28,75.98,79,0,7.85
394,Freeport,26.54,-78.7,89.6,52,40,16.11
395,Corrales,5.83,-72.84,58.88,79,80,2.37
396,Chumikan,54.72,135.31,46.46,69,0,11.21
397,Mapiripan,2.89,-72.13,88.58,62,44,5.17
398,Palia Kalan,28.45,80.58,70.58,83,0,2.93
399,Pokhara,28.21,83.99,58.52,68,64,2.93
400,Aguimes,27.91,-15.45,75.2,78,20,19.46
401,Berlevag,70.86,29.09,35.62,100,40,20.8
402,Mitsamiouli,-11.38,43.28,75.2,78,20,4.7
403,Tingo Maria,-9.29,-76.01,86.0,55,40,8.05
404,Ambositra,-20.53,47.24,54.38,93,0,2.26
405,Kysyl-Syr,63.9,122.77,35.57,86,76,6.73
406,Montrose,-37.81,145.34,51.8,57,75,12.75
407,Omboue,-1.57,9.26,78.23,100,20,6.96
408,San Patricio,-26.98,-56.83,69.95,88,68,5.39
409,Olinda,-2.03,-79.75,80.6,61,75,6.93
410,Puerto Escondido,15.86,-97.07,86.0,70,90,9.17
411,Kulhudhuffushi,6.62,73.07,77.6,100,92,11.99
412,Juazeiro,-9.43,-40.51,91.4,31,0,9.17
413,Lamar,38.09,-102.62,87.98,25,1,16.11
414,Tiznit,29.7,-9.73,73.28,82,36,6.17
415,Popondetta,-8.77,148.24,68.42,95,76,1.36
416,Inuvik,68.36,-133.71,20.28,92,90,3.36
417,Rio Cuarto,-33.13,-64.35,69.8,35,0,6.93
418,Panzhihua,26.59,101.72,54.02,99,92,2.48
419,Padang,-0.92,100.36,81.47,100,48,3.71
420,Motala,58.54,15.04,42.73,81,0,5.82
421,Cap Malheureux,-19.98,57.61,71.6,60,20,6.93
422,San Ignacio,-36.8,-72.03,62.6,48,0,13.87
423,Marystown,47.17,-55.16,50.78,82,76,15.79
424,Faranah,10.04,-10.74,83.81,72,44,5.5
425,Garowe,8.41,48.48,69.86,91,0,4.5
426,Kavaratti,10.57,72.64,83.81,100,24,7.18
427,Hit,33.64,42.83,82.28,26,44,4.16
428,Maldonado,-34.91,-54.96,64.4,45,20,12.75
429,Ampanihy,-24.69,44.75,68.15,62,0,8.63
430,Teahupoo,-17.83,-149.27,77.0,65,40,4.7
431,Darnah,32.77,22.64,81.47,85,36,12.33
432,Ovalle,-30.6,-71.2,72.92,74,24,4.5
433,Handia,25.36,82.19,73.19,84,36,2.48
434,Luau,-10.7,22.23,74.54,57,48,1.7
435,Hay River,60.82,-115.79,28.4,74,75,3.36
436,Umm Kaddadah,13.6,26.69,88.22,31,64,6.29
437,Uvat,59.14,68.9,50.15,66,76,9.19
438,Zhigansk,66.77,123.37,34.22,100,92,3.15
439,Brae,60.4,-1.35,45.61,87,92,8.05
440,Awjilah,29.14,21.3,87.32,21,64,7.96
441,Pyinmana,19.74,96.21,73.64,98,20,2.26
442,Bassano,50.79,-112.47,31.43,95,0,7.96
443,Huoqiu,32.34,116.27,55.28,86,0,2.71
444,Tabuk,17.41,121.44,59.78,91,8,2.15
445,Cabinda,-5.56,12.19,77.06,98,80,10.76
446,Naze,5.43,7.07,78.8,83,75,5.82
447,Arona,45.76,8.56,61.54,67,0,2.24
448,Zaigrayevo,51.83,108.27,42.8,73,75,13.42
449,Mahebourg,-20.41,57.7,71.6,60,20,6.93
450,Gigmoto,13.78,124.39,78.23,100,12,4.72
451,Jiblah,13.92,44.15,55.73,77,0,1.92
452,Karpogory,64.0,44.44,40.16,93,44,4.94
453,Lenine,45.3,35.78,64.28,100,0,21.05
454,Gizo,31.8,34.94,80.6,69,0,3.36
455,Laguna,27.52,-110.01,86.0,58,5,2.59
456,Dong Hoi,17.48,106.6,80.75,100,88,12.77
457,Hukuntsi,-23.98,21.76,73.28,12,0,9.75
458,Celestun,20.87,-90.4,84.71,95,8,13.0
459,Notre-Dame-du-Lac,47.61,-68.8,55.4,66,90,5.82
460,Orebro,59.27,15.21,44.6,75,0,6.93
461,Berdigestyakh,62.1,126.7,34.4,89,88,5.06
462,Lagos,6.46,3.39,82.4,83,75,8.05
463,Vila Velha,-3.71,-38.6,86.0,62,40,16.11
464,Severnoye,54.09,52.54,55.19,48,44,11.77
465,Nemuro,43.32,145.57,58.07,100,0,15.35
466,Gerardmer,48.07,6.88,55.4,87,90,1.12
467,Svetlaya,46.54,138.33,53.03,100,0,11.32
468,Los Llanos de Aridane,28.66,-17.92,75.2,78,75,9.17
469,Groningen,53.22,6.57,51.91,81,20,4.7
470,Ateptsevo,55.32,36.75,46.4,81,90,8.95
471,Srivardhan,18.03,73.02,78.77,93,12,5.5
472,Nanakuli,21.39,-158.15,75.51,97,75,11.99
473,Ust-Omchug,61.13,149.63,14.87,84,64,2.59
474,Rocky Mountain House,52.38,-114.92,34.13,58,0,3.6
475,Tual,-5.67,132.75,78.95,100,88,11.21
476,Nenjiang,49.17,125.23,46.1,73,0,10.76
477,Shenjiamen,29.96,122.3,72.92,88,0,20.71
478,Pavlovo,55.97,43.07,51.8,87,75,6.71
